Distance_(µm),Gray_Value
0.52530,0.000
0.52679,0.000
0.52827,0.000
0.52976,0.000
0.53125,0.000
0.53274,0.000
0.53423,0.000
0.53571,0.000
0.53720,0.000
0.53869,0.000
0.54018,0.000
0.54167,0.000
0.54315,0.000
0.54464,0.000
0.54613,0.000
0.54762,0.000
0.54911,0.000
0.55060,0.000
0.55208,0.000
0.55357,0.000
0.55506,0.000
0.55655,0.000
0.55804,0.000
0.55952,0.000
0.56101,0.000
0.56250,0.000
0.56399,0.000
0.56548,0.000
0.56696,0.000
0.56845,0.000
0.56994,0.000
0.57143,0.000
0.57292,0.000
0.57440,0.000
0.57589,0.000
0.57738,0.000
0.57887,0.000
0.58036,0.000
0.58185,0.000
0.58333,0.000
0.58482,0.000
0.58631,0.000
0.58780,0.000
0.58929,0.000
0.59077,0.000
0.59226,0.000
0.59375,0.000
0.59524,0.000
0.59673,0.000
0.59821,0.000
0.59970,0.000
0.60119,0.000
0.60268,0.000
0.60417,0.000
0.60565,0.000
0.60714,0.000
0.60863,0.000
0.61012,0.000
0.61161,0.000
0.61310,0.000
0.61458,0.000
0.61607,0.000
0.61756,0.000
0.61905,0.000
0.62054,0.000
0.62202,0.000
0.62351,0.000
0.62500,0.000
0.62649,0.000
0.62798,0.000
0.62946,0.000
0.63095,0.000
0.63244,0.000
0.63393,0.000
0.63542,0.000
0.63690,0.000
0.63839,0.000
0.63988,0.000
0.64137,0.000
0.64286,0.000
0.64435,0.000
0.64583,0.000
0.64732,0.000
0.64881,0.000
0.65030,0.000
0.65179,0.000
0.65327,0.000
0.65476,0.000
0.65625,0.000
0.65774,0.000
0.65923,0.000
0.66071,16.461
0.66220,117.229
0.66369,255.000
0.66518,255.000
0.66667,255.000
0.66815,249.107
0.66964,183.597
0.67113,0.000
0.67262,0.000
0.67411,0.000
0.67560,0.000
0.67708,0.000
0.67857,0.000
0.68006,0.000
0.68155,0.000
0.68304,0.000
0.68452,0.000
0.68601,0.000
0.68750,0.000
0.68899,0.000
0.69048,0.000
0.69196,0.000
0.69345,0.000
0.69494,0.000
0.69643,0.000
0.69792,0.000
0.69940,0.000
0.70089,0.000
0.70238,0.000
0.70387,0.000
0.70536,0.000
0.70685,0.000
0.70833,0.000
0.70982,0.000
0.71131,0.000
0.71280,0.000
0.71429,0.000
0.71577,0.000
0.71726,0.000
0.71875,0.000
0.72024,0.000
0.72173,0.000
0.72321,0.000
